['손은영', '631027-2689336', '홍보부', '이사', '인천 남구 도화1동 850', '1963-10-27']
['성재용', '691110-1764867', '자재부', '부장', '경기 성남시 분당구 금곡동 107', '1969-11-10']
['양은하', '670717-2813401', '홍보부', '부장', '경기 수원시 장안구 정자3동 215', '1967-07-17']
['왕영삼', '760711-1607461', '개발부', '주임', '경기 화성시 남양동 204', '1976-07-11']
['한혜정', '741109-2210298', '영업부', '실장', '경기 광명시 소하동 343', '1974-11-09']
['노영희', '681003-2652498', '영업부', '과장', '서울 구로구 개봉2동 882', '1968-10-03']
['왕정철', '580418-1956977', '해외홍보부', '부장', '경기 성남시 중원구 성남동 665', '1958-04-18']
['정태림', '671205-1919284', '업무부', '대리', '인천 남동구 간석동 123', '1967-12-05']
['권혜경', '800307-2265145', '홍보부', '부장', '서울 강남구 대치1동 760', '1980-03-07']
['서정자', '630620-2648133', '교육부', '차장', '경기 수원시 팔달구 매교동 880', '1963-06-20']
['조송이', '630322-2353434', '경영관리부', '대리', '경기 평택시 비전1동 146', '1963-03-22']
['방경식', '680609-1896937', '에너지사업부', '부장', '서울 강서구 등촌동 184', '1968-06-09']
['박춘자', '580614-2642814', '경리부', '주임', '경기 성남시 분당구 하산운동 531', '1958-06-14']
['방한일', '791115-1989229', '개발부', '상무', '서울 성북구 돈암2동 171', '1979-11-15']
['조정희', '590516-2228508', '자재부', '실장', '경기 안성시 계동 252', '1959-05-16']
['박명숙', '760401-2580847', '경리부', '상무', '경기 광명시 하안동 356', '1976-04-01']
['성현철', '640904-1627847', '자재부', '대리', '경기 안양시 동안구 비산2동 816', '1964-09-04']
['서정자', '651206-2948256', '영업부', '팀장', '경기 부천시 소사구 옥길동 189', '1965-12-06']
['방민희', '620814-2707718', '경리부', '과장', '서울 마포구 노고산동 648', '1962-08-14']
['김수하', '730622-2310339', '경리부', '주임', '경기 수원시 팔달구 팔달로2가 174', '1973-06-22']
['정의일', '590325-1341028', '경리부', '사원', '서울 중구 남창동 866', '1959-03-25']
['노서희', '780901-2564873', '경영지원팀', '이사', '인천 서구 오류동 304', '1978-09-01']
['조정일', '751105-1324403', '경영관리부', '대리', '인천 중구 신흥동2가 337', '1975-11-05']
['김화란', '660916-2884077', '경리부', '실장', '서울 관악구 봉천동 432', '1966-09-16']
['최석현', '780816-1113551', '경리부', '대리', '경기 안양시 동안구 비산2동 695', '1978-08-16']
['정성현', '771013-1770603', '경리부', '주임', '서울 양천구 신월2동 542', '1977-10-13']
['성현빈', '620821-1311262', '홍보부', '상무', '경기 동두천시 상패동 239', '1962-08-21']
['양윤택', '741206-1680953', '경영지원팀', '사원', '경기 성남시 중원구 은행1동 213', '1974-12-06']
['채영수', '740905-1871834', '업무부', '주임', '경기 평택시 모곡동 729', '1974-09-05']
['백영희', '770202-2978978', '영업부', '부장', '경기 과천시 주암동 347', '1977-02-02']
['왕민정', '680424-2276213', '경영지원팀', '차장', '서울 노원구 중계동 188', '1968-04-24']
['정혜정', '800317-2481471', '기전부', '실장', '경기 수원시 장안구 정자2동 433', '1980-03-17']
['이상일', '780703-1266519', '기전부', '차장', '경기 부천시 원미구 역곡동 640', '1978-07-03']
['주민석', '770505-1357876', '경리부', '대리', '서울 마포구 공덕1동 726', '1977-05-05']
['성명숙', '730525-2809818', '기전부', '대리', '경기 수원시 권선구 입북동 604', '1973-05-25']
['채재용', '640814-1540007', '자재부', '과장', '서울 중구 명동1가 568', '1964-08-14']
['조소현', '770920-2199623', '주택사업부', '과장', '경기 화성시 시동 397', '1977-09-20']
['송혜정', '641017-2554061', '해외홍보부', '팀장', '경기 고양시 덕양구 선유동 198', '1964-10-17']
['주무현', '741112-1120432', '교육부', '사원', '인천 중구 송월동3가 608', '1974-11-12']
['박영애', '650118-2537551', '업무부', '대리', '서울 종로구 인의동 757', '1965-01-18']
['김주경', '680811-2675734', '기전부', '부장', '인천 동구 만석동 515', '1968-08-11']
['왕찬진', '641216-1560150', '경영관리부', '부장', '서울 영등포구 신길6동 811', '1964-12-16']
['강기영', '790527-1623598', '경리부', '차장', '서울 중구 인현동2가 508', '1979-05-27']
['박석규', '750706-1712088', '해외홍보부', '실장', '경기 용인시 고림동 272', '1975-07-06']
['최영삼', '730611-1526152', '주택사업부', '상무', '경기 안성시 서인동 103', '1973-06-11']
