이름,주민등록번호,소속,직급,주소
왕민정,680424-2276213,경영지원팀,차장,서울 노원구 중계동 188
정혜정,800317-2481471,기전부,실장,경기 수원시 장안구 정자2동 433
이상일,780703-1266519,기전부,차장,경기 부천시 원미구 역곡동 640
주민석,770505-1357876,경리부,대리,서울 마포구 공덕1동 726
성명숙,730525-2809818,기전부,대리,경기 수원시 권선구 입북동 604
채재용,640814-1540007,자재부,과장,서울 중구 명동1가 568
조소현,770920-2199623,주택사업부,과장,경기 화성시 시동 397
송혜정,641017-2554061,해외홍보부,팀장,경기 고양시 덕양구 선유동 198
주무현,741112-1120432,교육부,사원,인천 중구 송월동3가 608
박영애,650118-2537551,업무부,대리,서울 종로구 인의동 757
김주경,680811-2675734,기전부,부장,인천 동구 만석동 515
왕찬진,641216-1560150,경영관리부,부장,서울 영등포구 신길6동 811
강기영,790527-1623598,경리부,차장,서울 중구 인현동2가 508
박석규,750706-1712088,해외홍보부,실장,경기 용인시 고림동 272
최영삼,730611-1526152,주택사업부,상무,경기 안성시 서인동 103
